id,user_id,orderId,date,amount,coins,payment_method,status,description
4,421,ORDER000004,52:10.2,598.33,26,momo,failed,Transaction for 26 coins via momo.
5,42,ORDER000005,52:10.2,897.13,25,zalopay,completed,Transaction for 25 coins via zalopay.
6,325,ORDER000006,52:10.2,102.99,3,momo,completed,Transaction for 3 coins via momo.
7,181,ORDER000007,52:10.2,910.22,82,code,completed,Transaction for 82 coins via code.
8,383,ORDER000008,52:10.2,730.91,41,code,completed,Transaction for 41 coins via code.
9,209,ORDER000009,52:10.2,160.77,83,zalopay,pending,Transaction for 83 coins via zalopay.
10,174,ORDER000010,52:10.2,907.79,21,code,pending,Transaction for 21 coins via code.
11,454,ORDER000011,52:10.2,625.79,67,zalopay,pending,Transaction for 67 coins via zalopay.
12,362,ORDER000012,52:10.2,600.43,69,code,failed,Transaction for 69 coins via code.
13,229,ORDER000013,52:10.2,766.79,76,momo,failed,Transaction for 76 coins via momo.
14,46,ORDER000014,52:10.2,396.35,56,code,pending,Transaction for 56 coins via code.
15,134,ORDER000015,52:10.2,410.96,60,zalopay,pending,Transaction for 60 coins via zalopay.
16,92,ORDER000016,52:10.2,901.11,78,code,pending,Transaction for 78 coins via code.
17,113,ORDER000017,52:10.2,767.54,35,code,completed,Transaction for 35 coins via code.
18,21,ORDER000018,52:10.2,426.68,53,zalopay,pending,Transaction for 53 coins via zalopay.
19,446,ORDER000019,52:10.2,707.25,51,momo,failed,Transaction for 51 coins via momo.
20,409,ORDER000020,52:10.2,704.22,8,zalopay,completed,Transaction for 8 coins via zalopay.
21,464,ORDER000021,52:10.2,269.14,91,code,pending,Transaction for 91 coins via code.
22,30,ORDER000022,52:10.2,102.81,71,momo,failed,Transaction for 71 coins via momo.
23,449,ORDER000023,52:10.2,285.4,36,code,failed,Transaction for 36 coins via code.
24,308,ORDER000024,52:10.2,677.36,75,momo,failed,Transaction for 75 coins via momo.
25,205,ORDER000025,52:10.2,259.55,71,code,failed,Transaction for 71 coins via code.
26,164,ORDER000026,52:10.2,987.56,56,momo,completed,Transaction for 56 coins via momo.
27,491,ORDER000027,52:10.2,970.95,6,code,failed,Transaction for 6 coins via code.
28,262,ORDER000028,52:10.2,806.02,21,momo,pending,Transaction for 21 coins via momo.
29,257,ORDER000029,52:10.2,702.44,71,momo,failed,Transaction for 71 coins via momo.
30,238,ORDER000030,52:10.2,673.73,60,momo,completed,Transaction for 60 coins via momo.
31,84,ORDER000031,52:10.2,934.45,30,code,failed,Transaction for 30 coins via code.
32,311,ORDER000032,52:10.2,583.28,62,momo,completed,Transaction for 62 coins via momo.
33,18,ORDER000033,52:10.2,913.72,30,zalopay,failed,Transaction for 30 coins via zalopay.
34,451,ORDER000034,52:10.2,546.99,17,momo,completed,Transaction for 17 coins via momo.
35,358,ORDER000035,52:10.2,757.43,93,momo,pending,Transaction for 93 coins via momo.
36,282,ORDER000036,52:10.2,236.64,96,momo,completed,Transaction for 96 coins via momo.
37,270,ORDER000037,52:10.2,595.89,62,code,pending,Transaction for 62 coins via code.
38,61,ORDER000038,52:10.2,780.95,68,momo,pending,Transaction for 68 coins via momo.
39,60,ORDER000039,52:10.2,671.25,77,code,completed,Transaction for 77 coins via code.
40,371,ORDER000040,52:10.2,42.03,42,zalopay,failed,Transaction for 42 coins via zalopay.
41,56,ORDER000041,52:10.2,69.99,11,code,pending,Transaction for 11 coins via code.
42,105,ORDER000042,52:10.2,410.29,40,zalopay,failed,Transaction for 40 coins via zalopay.
43,297,ORDER000043,52:10.2,656.59,25,zalopay,completed,Transaction for 25 coins via zalopay.
44,327,ORDER000044,52:10.2,446.31,6,code,failed,Transaction for 6 coins via code.
45,139,ORDER000045,52:10.2,332.62,1,zalopay,pending,Transaction for 1 coins via zalopay.
46,492,ORDER000046,52:10.2,613.39,51,zalopay,completed,Transaction for 51 coins via zalopay.
